name,stars,language,description,url,created_at
yc-software/qm,9767,TypeScript,Multiplayer agent harness for work,https://github.com/yc-software/qm,2026-07-29T20:03:08Z
bashalarmistalt/decimen-optical-transfer,4260,TypeScript,No description,https://github.com/bashalarmistalt/decimen-optical-transfer,2026-07-30T18:17:54Z
trycompai/crm,3311,TypeScript,"An open-source, agentic-first CRM.",https://github.com/trycompai/crm,2026-07-31T21:38:51Z
xdash/FDE-the-Guidance-Book-of-Forward-Deployed-Engineer,2095,N/A,FDE（前沿部署工程师）从零入门指南（基于范冰《增长黑客》原书框架）,https://github.com/xdash/FDE-the-Guidance-Book-of-Forward-Deployed-Engineer,2026-07-30T05:39:38Z
microsoft/skill-recorder,1428,TypeScript,Desktop app that records your on-screen work session and uses the GitHub Copilot CLI to reconstruct ,https://github.com/microsoft/skill-recorder,2026-07-29T18:16:14Z
FareedKhan-dev/kimi-k3-in-c,1258,C,A 2.78-trillion-parameter Kimi K3 running inference on a single CPU in 8.24 GB of RAM. Portable C99:,https://github.com/FareedKhan-dev/kimi-k3-in-c,2026-08-01T09:29:38Z
DannyMac180/sol-advisor,1000,Shell,Codex-native architect orchestration with Luna and Terra implementation lanes and mandatory fresh So,https://github.com/DannyMac180/sol-advisor,2026-08-01T13:56:43Z
WilonityDev/WilonityLoader,898,N/A,"Wilonity Loader – cheat lib w/ spoofer, driver bypass, undetected injector for 20+ games (RUST, CS2,",https://github.com/WilonityDev/WilonityLoader,2026-07-31T07:53:54Z
imsai-sh/zhuzhiliao,825,HTML,竹知了 —— 一转就哇哇叫的传统玩具，Web 模拟版。零依赖单文件，真实录音采样，移动端优先。,https://github.com/imsai-sh/zhuzhiliao,2026-08-01T17:20:54Z
thebuggeddev/anatomy,773,TypeScript,An interactive 3D human anatomy explorer built using threejs with GPT 5.6 Sol,https://github.com/thebuggeddev/anatomy,2026-08-02T11:15:16Z
