name,stars,language,description,url,created_at
s1dashu/ip-as-logo-skill,3487,N/A,"A compact Agent Skill for highly simplified, rounded, subtly neo-skeuomorphic IP mascot logos.",https://github.com/s1dashu/ip-as-logo-skill,2026-08-18T13:59:23Z
yetone/cumora,2858,TypeScript,Where agent teams gather. Cross-platform team chat where AI agents are first-class teammates — with ,https://github.com/yetone/cumora,2026-08-17T09:13:52Z
CopilotKit/OpenBot,2122,TypeScript,"Open-source AI coworkers that each get a computer of their own: a browser, files and tools, with eve",https://github.com/CopilotKit/OpenBot,2026-08-17T00:44:59Z
cinderline/northcinder,1203,JavaScript,"Buyer-run, ad-neutral shopping-agent MCP software with deterministic ranking, signed purchase mandat",https://github.com/cinderline/northcinder,2026-08-17T11:42:31Z
Tiger3807861189/DeepSeek-V4-J-Space-Capability-Realization-Report,1036,N/A,DeepSeek V4 × J-Space capability realization report — benchmark evidence that J-Space reduces capabi,https://github.com/Tiger3807861189/DeepSeek-V4-J-Space-Capability-Realization-Report,2026-08-16T11:38:42Z
wang2122/sprix-sage-router,1009,Python,Sprix AI at 屿智同行 — state-aware SELF/COLLABORATE/HANDOFF routing for A2A agent networks.,https://github.com/wang2122/sprix-sage-router,2026-08-18T04:08:11Z
vvxw/deploy-vercel,985,JavaScript,Install Command：npm install,https://github.com/vvxw/deploy-vercel,2026-08-18T13:25:45Z
Leutenegger/watermarks-remover,929,Python,"Remove multi-vendor AI provenance traces: Unicode text sanitization, statistical rewriting technique",https://github.com/Leutenegger/watermarks-remover,2026-08-19T15:20:24Z
Leutenegger/vanity-eth,803,Python,Offline vanity address generator for Bitcoin and Ethereum. CPU multi-process search with interactive,https://github.com/Leutenegger/vanity-eth,2026-08-21T00:42:33Z
browser-use/macos-harness,686,Python,"The simplest, thinnest harness that gives an LLM complete freedom to control a Mac.",https://github.com/browser-use/macos-harness,2026-08-17T00:22:20Z
