title,url,score,comments,by,hn_url
Why have papers by one of history's most famous physicists been retracted?,https://www.science.org/content/article/why-have-papers-one-history-s-most-famous-physicists-been-retracted,32,10,adharmad,https://news.ycombinator.com/item?id=48686834
Incident CVE-2026-LGTM,https://nesbitt.io/2026/06/26/incident-report-cve-2026-lgtm.html,76,21,mooreds,https://news.ycombinator.com/item?id=48686093
The AI backlash is only getting started,https://www.economist.com/leaders/2026/06/25/the-ai-backlash-is-only-getting-started,21,13,andsoitis,https://news.ycombinator.com/item?id=48686219
Om Malik has died,https://om.co/2026/06/24/1966-2026/,1093,129,minimaxir,https://news.ycombinator.com/item?id=48678852
An entire Herculaneum scroll has been read for the first time,https://scrollprize.org/firstscroll,1467,309,verditelabs,https://news.ycombinator.com/item?id=48675179
Bipartite Matching Is in NC,https://scottaaronson.blog/?p=9851,59,2,amichail,https://news.ycombinator.com/item?id=48637433
Libre Barcode Project,https://graphicore.github.io/librebarcode/,222,36,luu,https://news.ycombinator.com/item?id=48681949
Ultrasound Imaging of the Brain,https://alephneuro.com/blog/ultrasound-brain,22,5,rossant,https://news.ycombinator.com/item?id=48685558
What happened after 2k people tried to hack my AI assistant,https://www.fernandoi.cl/posts/hackmyclaw/,261,108,cuchoi,https://news.ycombinator.com/item?id=48681687
Framework's 10G Ethernet module exposes USB-C's complexity,https://www.jeffgeerling.com/blog/2026/framework-10g-ethernet-module-usb-c-complexity/,246,134,Alupis,https://news.ycombinator.com/item?id=48681220
